Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
satcoin-genesis-SAT-4.cnf 5.21174 3.3172 3.43795
cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf 13.1374 1901.76 1908.25
cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf 13.7443 12.5073 12.3419
ramsey-30-4.cnf 0.896729 0.758477 0.713249
20180322_164226661_p_cnf_320_1120.cnf 46.2727 5000.1 5000.01
CNP-5-1700.cnf 51.7859 121.32 122.756
CNP-5-1600.cnf 64.4825 109.662 115.673
gto_p60c239.cnf 85.2952 74.2919 75.3795
Problem14_label19_true-unreach-call.c.cnf 98.7566 82.024 85.5004
cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf 209.68 350.226 335.734
ecarev-110-4099-22-30-5.cnf 220.646 252.219 273.48
ecarev-110-1031-23-40-7.cnf 157.805 141.908 150.273
Karatsuba7654321x1234567.cnf 291.416 349.971 365.657
T116.2.0.cnf 337.092 335.94 324.033
Problem14_label20_true-unreach-call.c.cnf 127.778 67.1412 68.7229
T84.2.0.cnf 361.671 329.526 308.214
pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf 401.502 323.299 360.994
apn-sbox6-cut3-helpbox31.cnf 476.354 930.965 879.32
T129.2.0.cnf 477.87 411.681 394.446
T87.2.0.cnf 536.361 533.168 511.673
prime_200560490131.cnf 131.335 128.11 129.45
cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf 422.721 168.989 173.823
20180322_164245263_p_cnf_320_1120.cnf 482.285 5000.09 5000.01
course0.2_2018_3.cnf 856.392 5000.01 5000.01
course0.2_2018_3_5.cnf 251.769 278.146 269.086
quadratic_loose_error.c.cnf 237.062 230.76 230.561
newton_3_6_false-unreach-call.i.cnf 777.382 283.795 303.981
a_rphp035_05.cnf 1356.17 869.773 877.426
Nb52T6.cnf 1577.61 2070.18 3311.32
Nb42T6.cnf 1680.99 1159.12 1435.14
sted5_0x0-50.cnf 210.946 345.391 352.227
apn-sbox6-cut3-helpbox30.cnf 946.789 830.372 831.99
ecarev-110-1031-23-40-3.cnf 56.6645 149.282 157.119
satcoin-genesis-SAT-1024.cnf 2549.67 27.3127 26.5556
uniqinv46prop.cnf 2846.67 2855.95 2890.24
frb35-17-5-mgd_ext.cnf 95.4554 47.3155 45.8293
si2-b03m-m400-03.cnf 91.5011 88.8563 89.0398
course0.12_2018_3_1.cnf 3086.41 3181.28 3338.77
CNP-5-0.cnf 1531.63 675.354 745.707
gto_p60c241.cnf 95.9713 104.397 103.055
sted1_0x1e3-300.cnf 5000.08 5000 5000.01
e_rphp096_04.cnf 5000.1 5000.01 5000.01
sted1_0x1e3-100.cnf 5000.08 5000 5000.02
apn-sbox5-cut4-symmbreak.cnf 5000.09 5000.01 5000
less-cy-caa.rules.4-9.cnf 5000.1 5000 5000.02
apn-sbox6-cut3-helpbox23.cnf 5000.1 5000.01 5000.01
gto_p50c311.cnf 5000.1 5000 5000.01
sdiv40prop.cnf 5000.11 5000.11 5000.02
commutativity3.c.cnf 5000.1 5000 5000.01
gto_p50c314.cnf 5000.12 5000.02 5000
mchess_18.cnf 5000.09 5000 5000.01
e_rphp056_05.cnf 5000.11 5000.02 5000.01
course_flat_0.12_2018_3.cnf 5000.1 5000.01 5000.01
ex015_14.cnf 5000.13 5000.01 5000.11
TimetableCNFEncoding_5_UNKNOWN.cnf 5000.13 5000.01 5000.02
apn-sbox6-cut3-helpbox26.cnf 5000.11 5000.02 5000.01
sted1_0x1e3-200.cnf 5000.01 5000 5000.01
sted5_0x0-70.cnf 5000.01 5000.01 5000.01
20180321_140826713_p_cnf_320_1120.cnf 5000 548.461 573.07
ex039_33.cnf 179.306 1232.96 1238.77
cms-scheel-md4-families-r24-c4-p6-13-17-19.cnf 189.032 53.5514 54.6157
20180322_164241842_p_cnf_320_1120.cnf 5000.02 2348.45 2367.16
apn-sbox6-cut4-helpbox30.cnf 249.286 506.173 479.642
pals_floodmax.5_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf 5000 5000 5000.01
a_rphp055_04.cnf 322.045 269.763 273.843
satcoin-genesis-SAT-9.cnf 5.96605 3.96619 4.15797
apn-sbox5-cut5-symmbreak.cnf 5000 5000.02 5000.1
ex157_10.cnf 352.955 344.673 389.685
7-4-7.cnf 5000.02 5000 5000.01
T93.2.0.cnf 461.452 489.797 484.521
TimetableCNFEncoding_6_UNKNOWN.cnf 5000.01 5000.01 5000.01
cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf 485.869 511.707 538.346
Problem11_label29_false-unreach-call.c.cnf 500.739 485.708 527.357
10-3-13.cnf 5000.01 5000 5000.01
gto_p60c231_1.cnf 76.2153 67.0196 68.2044
gto_p60c238.cnf 191.545 184.799 192.624
course_flat_0.2_2018_3.cnf 314.662 410.682 407.949
sdiv30prop.cnf 5000 5000.11 5000
cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf 220.027 157.691 161.031
CNP-5-800.cnf 5000.02 134.811 132.509
e_rphp035_05.cnf 827.334 455.236 429.426
ex145_11.cnf 5000 5000.02 5000.02
Nb39T6.cnf 873.276 965.722 884.927
dist8.c.cnf 216.289 202.631 207.259
by-alt-5-7.cnf 5000.02 5000 5000.01
TimetableCNFEncoding_16_UNKNOWN.cnf 5000.01 5000.01 5000.01
gto_p60c234.cnf 148.272 130.59 132.393
cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf 63.6751 60.1467 59.5013
sqrt_ineq_3.c.cnf 1275.39 216.778 240.482
newton_3_4_true-unreach-call.i.cnf 1108.02 539.194 573.644
gto_p60c295.cnf 5000.02 5000 5000.01
queen15_15.col.15.cnf 5000 5000.01 5000.01
bibd-8-70-35-4-15_glb.cnf 18.5992 25.2383 24.8384
ae_rphp035_05.cnf 752.575 498.453 521.481
ecarev-110-1031-23-40-2.cnf 145.254 257.05 258.193
T90.2.0.cnf 409.511 396.978 384.971
T92.2.0.cnf 399.135 315.879 305.873
sdiv17prop.cnf 1049.27 1015.57 996.713
ae_rphp045_05.cnf 2244.4 1685.91 1613.63
course0.16_2018_3_5.cnf 5000.02 4641.69 3836.49
T117.2.0.cnf 322.398 417.515 400.082
apn-sbox6-cut4-helpbox28.cnf 5000.01 5000.02 5000.01
uniqinv20prop.cnf 2616.85 2583.81 2597.96
apn-sbox6-cut3-helpbox28.cnf 442.034 2560.96 2560.74
cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf 742.933 278.706 269.155
uniqinv40prop.cnf 2752.24 2718.38 2771.65
ex065_25.cnf 5000.02 3390.27 5000.02
T56.2.0.cnf 465.464 424.681 409.937
T98.2.0.cnf 559.539 359.62 355.655
si2-r001-m200-09.cnf 866.141 825.37 829.847
20180322_164223076_p_cnf_320_1120.cnf 5000.02 27.9601 29.4194
sdiv25prop.cnf 5000.01 5000.1 5000.01
sted5_0x24204-70.cnf 5000.01 5000 5000.01
factoring94418953x321534781.cnf 5000 5000.02 5000.11
cms-scheel-md4-families-r24-c4-p4-9-13-18.cnf 5000.01 1951.93 2009.79
sted1_0x24204-350.cnf 5000.01 5000.02 5000.02
1mod8.rules.7-7.cnf 5000.01 5000.01 5000.01
20180326_095805836_p_cnf_320_1120.cnf 4.43057 1683.48 1663.77
sted1_0x0-380.cnf 5000.01 5000.01 5000.01
Problem14_label55_true-unreach-call.c.cnf 150.043 111.003 116.125
course_flat_0.12_2018_3_5.cnf 5000.03 5000.01 5000.01
factoring54018521x562448657.cnf 5000.01 5000 5000.02
factoring87654321x12345678.cnf 214.828 277.37 280.347
courses0.12_2017_9.cnf 5000.02 5000.01 5000.01
Nb11T118.cnf 5000.02 5000.01 5000.02
gto_p50c291.cnf 5000.02 5000 5000.01
ecarev-110-1031-23-40-6.cnf 732.034 335.066 357.998
ecarev-110-4099-22-30-2.cnf 232.424 250.37 271.731
sdiv20prop.cnf 5000.02 5000.1 5000.01
9-4-10.cnf 5000.01 5000.01 5000.02
a_rphp085_04.cnf 5000.01 5000.02 5000.02
si2-b03m-m800-03.cnf 161.199 155.523 153.324
cannonball-opt-y.rules.4-10.cnf 5000.01 5000 5000.02
udiv47prop.cnf 5000.03 5000.08 5000.01
sqrt_ineq_2.c.cnf 23.8712 81.0111 85.9663
Karatsuba6972593x13466917.cnf 409.598 231.56 235.861
e_rphp055_04.cnf 281.344 191.12 191.679
8-4-8.cnf 5000.03 5000 5000.01
apn-sbox6-cut4-helpbox26.cnf 5000.01 5000.02 5000.01
mchess_20.cnf 5000.01 5000 5000.01
Problem11_label51_false-unreach-call.c.cnf 416.417 232.203 324.115
le450_15b.col.15.cnf 5000.02 5000.02 5000.02
queen14_14.col.14.cnf 5000.01 5000 5000.02
sdiv16prop.cnf 418.589 409.464 440.462
CNP-5-1300.cnf 217.79 97.8432 103.171
dist4.c.cnf 199.034 185.469 183.457
apn-sbox6-cut4-helpbox31.cnf 509.735 307.279 285.345
T96.2.0.cnf 474.838 287.107 273.87
course0.12_2018_3_5.cnf 5000.03 5000.01 5000.02
Cake_9_20.cnf 5000.01 5000 5000.02
pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf 673.103 732.189 783.79
satcoin-genesis-SAT-2048.cnf 4049.02 2702.22 2678.31
satcoin-genesis-SAT-8.cnf 4.02322 4.00885 4.14039
Problem14_label14_false-unreach-call.c.cnf 206.856 120.144 122.737
20180326_095804286_p_cnf_320_1120.cnf 5000.02 5000 5000.02
cms-scheel-md5-families-r24-c5-p2-7-8-15-19.cnf 538.851 247.253 253.992
courses_flat_0.12_2017_9.cnf 5000.03 5000.01 5000.01
ex175_20.cnf 540.822 542.594 660.629
20180321_110706599_p_cnf_320_1120.cnf 5000.01 168.985 179.969
assoc2.c.cnf 5000.01 5000 5000.01
8-4-10.cnf 5000.02 5000.01 5000.01
cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf 9.53736 14.8829 15.2118
Nb51T6.cnf 1526.47 2053.02 1956.6
8-4-9.cnf 5000.02 5000.01 5000.09
satcoin-genesis-SAT-64.cnf 2622.18 23.0581 22.6713
Nb49T6.cnf 2110.11 1812.29 1746.99
ex177_12.cnf 5000.02 5000.01 5000.02
mchess_15.cnf 86.4884 143.808 144.605
bz-X-4-7-6.cnf 5000.01 1384.68 1321.87
CNP-5-1200.cnf 251.957 140.428 151.967
T125.2.0.cnf 355.336 437.322 428.795
cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf 40.4818 39.9621 39.1541
mchess_16.cnf 647.695 488.118 496.978
CNP-5-400.cnf 666.284 2320.77 2183.9
ramsey-32-4.cnf 9.7422 10.0379 10.2048
filter1_true-unreach-call.c.cnf 1101.59 1208.88 1240.05
apn-sbox6-cut4-helpbox29.cnf 1240.52 430.973 439.267
filter_iir_true-unreach-call.c.cnf 1489.9 1734.17 1760.76
bx-d-4-7-6.cnf 5000.01 5000 5000.01
CNP-5-1100.cnf 641.212 114.336 126.52
assoc_mult_err_3.c.cnf 112.677 113.669 122.246
6-3-8.cnf 594.246 1469.82 1443.4
queen13_13.col.13.cnf 524.465 693.279 732.877
dist7.c.cnf 215.092 188.724 192.153
full-cy-caa.rules.7-7.cnf 329.816 467.631 417.495
ex187_10.cnf 695.249 379.435 414.846
6-5-6.cnf 5001.43 5000.02 5000.01
ae_rphp056_05.cnf 5000.01 5000.02 5000.02
satcoin-genesis-SAT-10.cnf 5000.01 5000.01 5000.01
uniqinv25prop.cnf 2627.31 2591.87 2611.08
le450_15c.col.15.cnf 5000.01 5000 5000.01
frb35-17-5_ext.cnf 22.3877 97.9381 93.7896
gto_p50c312.cnf 5000.01 5000 5000
Karatsuba4477457x5308417.cnf 131.247 186.871 181.149
ex175_17.cnf 1742.7 5000.03 5000.02
udiv46prop.cnf 5000.01 5000.1 5000.01
dist9.c.cnf 207.768 198.026 203.102
factoring39916801x54018521.cnf 128.423 723.255 711.666
udiv40prop.cnf 5000.01 5000.11 5000.01
5or7mod8.rules.7-7.cnf 5000.01 5000.01 5000.1
TimetableCNFEncoding_20_UNKNOWN.cnf 162.447 177.086 165.289
ex025_19.cnf 5000.01 5000.01 5000.01
satcoin-genesis-SAT-3.cnf 3.26589 3.33608 3.838
quadratic_tight_error.c.cnf 269.195 282.784 313.148
le450_15a.col.15.cnf 5000.01 5000 5000.01
full-by-za.rules.5-7.cnf 5000.02 5000.01 5000.02
mod8-abd-yad.rules.7-7.cnf 105.801 275.559 247.407
satcoin-genesis-SAT-7.cnf 4.40619 3.97317 5.75717
sted1_0x0-330.cnf 296.017 160.593 161.751
gto_p60c231.cnf 60.7543 63.9384 66.845
apn-sbox6-cut5-helpbox26.cnf 5000.01 5000.01 5000.01
Nb8T61.cnf 5000.01 5000.01 5000.01
CNP-5-1800.cnf 116.011 106.558 111.821
TimetableCNFEncoding_9_UNKNOWN.cnf 5000.01 5000.01 5000.01
terminator_03_true-unreach-call_true-termination.i.cnf 1207.79 1104.21 1193.16
CNP-5-1500.cnf 689.554 139.933 150.575
CNP-5-500.cnf 5000.01 1471.26 1431.59
T107.2.0.cnf 354.361 363.568 351.366
Cake_9_19.cnf 5000.01 5000.01 5000.01
Nb27T6.cnf 382.233 378.869 369.194
CNP-5-200.cnf 5000.01 1476.06 1422.72
T105.2.0.cnf 402.16 265.418 259.1
queen8_12.col.12.cnf 428.28 174.932 184.045
ax-d-4-7-5.cnf 5000.01 5000.01 5000.02
school1.col.14.cnf 5000.01 5000 5000.01
patat-08-comp-3.cnf 25.0323 26.9754 26.145
20180321_140824282_p_cnf_320_1120.cnf 5000.02 2495.56 5000.02
dist6.c.cnf 205.065 182.578 195.121
sted5_0x1e3-60.cnf 5000.01 5000 5000.12
CNP-5-100.cnf 3341.23 5000 5000.01
TimetableCNFEncoding_3_UNKNOWN.cnf 576.593 655.884 748.224
a_rphp098_04.cnf 5000.01 5000.01 5000.13
apn-sbox6-cut3-helpbox29.cnf 511.969 299.498 291.918
20180321_110707239_p_cnf_320_1120.cnf 5000 5000.1 5000.01
CNP-5-1400.cnf 167.702 1094.91 1071.79
6-4-6.cnf 5000.01 5000 5000.01
huck.col.11.cnf 79.4002 90.503 90.8984
exam_flat_0.04_2018_3.cnf 5000.01 5000.02 5000.02
satcoin-genesis-SAT-32.cnf 2752.03 2539.3 2517.23
satcoin-genesis-SAT-5.cnf 3.74885 3.81787 3.7957
a_rphp065_04.cnf 835.896 573.095 568.77
gto_p50c345.cnf 5000 5000 5000
e_rphp065_04.cnf 537.448 483.312 473.747
mchess_19.cnf 5000.01 5000 5000.02
TimetableCNFEncoding_17_UNKNOWN.cnf 177.815 187.427 194.533
CNP-5-700.cnf 61.4729 1712.69 1874.92
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf 27.6695 28.2543 29.0305
magicSquare-9_glb.cnf 34.1205 5000.04 5000.01
satcoin-genesis-SAT-128.cnf 2626.73 2533.59 2591.59
Problem14_label48_true-unreach-call.c.cnf 186.754 170.525 176.152
apn-sbox6-cut4-helpbox23.cnf 5000.02 5000.25 5000.01
bibd-19-57-9-3-1_glb.cnf 55.718 61.9974 58.4769
TimetableCNFEncoding_1_UNKNOWN.cnf 181.841 238.814 265.056
CNP-5-1900.cnf 214.665 594.034 637.059
avg_true-unreach-call.i.cnf 2726.81 2937.47 2920.06
full-ax-xa.rules.7-7.cnf 2735.91 5000 5000.01
cms-scheel-md4-families-r24-c5-p0-5-11-13-18.cnf 120.534 56.7649 57.0315
apn-sbox6-cut5-helpbox23.cnf 5000.01 5000.01 5000.13
10-4-10.cnf 5000.01 5000.01 5000.01
T122.2.0.cnf 489.312 414.411 395.154
Nb44T6.cnf 1109.42 1408.65 1313.08
CNP-5-900.cnf 1402.83 981.003 975.305
Nb8T63.cnf 5000.01 5000.01 5000.01
6-4-7.cnf 5000.01 5000 5000.01
Nb54T6.cnf 2522.19 2439.94 2345.94
uniqinv47prop.cnf 2800.69 2916.56 2854.57
courses_flat_0.16_2017_9.cnf 5000.01 2111.15 1983.62
ae_rphp075_04.cnf 1657.99 1135.57 1161.72
lei450-05b-05.cnf 3.28866 4.21989 4.1956
a_rphp045_05.cnf 5000.01 5000.01 5000.01
9-4-9.cnf 5000.01 5000.02 5000.01
sted5_0x24204-60.cnf 5000.01 5000.02 5000.01
CNP-5-600.cnf 1747.91 2016.56 2040.55
ae_rphp062_05.cnf 5000.01 5000.01 5000.01
exams_flat_0.04_2017_9.cnf 5000.01 5000.03 5000.01
le450_25c.col.25.cnf 5000.01 5000.01 5000.01
ex095_8.cnf 5000.01 5000.02 5000.02
Problem14_label57_false-unreach-call.c.cnf 109.036 115.068 119.469
T77.2.0.cnf 461.275 437.098 399.324
apn-sbox6-cut5-helpbox29.cnf 461.835 530.036 542.174
satcoin-genesis-SAT-16.cnf 7.02373 6.40853 6.56119
less-cy-caa.rules.6-4.cnf 5000.01 5000.01 5000.02
factoring29986577x29986577.cnf 232.204 312.834 305.841
Nb37T6.cnf 890.11 760.476 722.804
udiv48prop.cnf 5000.01 5000.1 5000.02
ex065_24.cnf 5000.02 5000.01 5000.02
a_rphp056_05.cnf 5000.02 5000.01 5000.01
cz-3-7-7.cnf 1622.14 1551.83 1694.3
TimetableCNFEncoding_8_UNKNOWN.cnf 5000.01 5000.01 5000.01
ex145_10.cnf 5000.01 5000.01 5000.01
le450_25a.col.25.cnf 5000.02 5000.01 5000.01
dist10.c.cnf 219.72 232.358 237.314
uniqinv30prop.cnf 2669.63 2776.64 2692.15
cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf 142.76 334.055 314.985
si2-b06m-m1000-03.cnf 168.171 162.587 163.467
Nb13T166.cnf 5000.03 5000.03 5000.02
gto_p60c235.cnf 192.853 200.871 203.914
T82.2.0.cnf 342.364 367.912 359.265
by-X-2-7-100.cnf 2033.62 1767.23 2340.34
course0.12_2018_3_3.cnf 5000.01 5000.01 5000.02
bx-d-4-7-8.cnf 5000.01 5000.02 5000.01
si2-r001-m200-00.cnf 1274.9 1238.62 1269.32
CNP-5-1000.cnf 722.388 254.546 255.9
ecarev-110-1031-23-40-8.cnf 365.939 272.554 288.751
magicSquare-8_glb.cnf 3059.05 48.1694 44.0464
queen12_12.col.12.cnf 829.844 563.563 583.949
sted1_0x24204-380.cnf 5000.01 5000 5000.01
gto_p50c307.cnf 5000.01 5000 5000
