Instance cominisatPS-DL cominisatPS
cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf 95.9415 20.1375
ortholatin-7.cnf 138.447 44.3894
prime_200560490131.cnf 190.303 198.371
e_rphp055_04.cnf 218.347 224.997
gto_p60c233.cnf 259.186 247.268
ecarev-110-4099-22-30-2.cnf 305.631 284.544
courses0.2_2017_9.cnf 407.131 3122.17
CNP-5-900.cnf 497.81 1399.98
dist6.c.cnf 498.195 400.694
gto_p60c231_1.cnf 168.067 159.055
Karatsuba4477457x5308417.cnf 674.342 554.537
e_rphp065_04.cnf 607.937 596.395
a_rphp065_04.cnf 792.127 794.523
pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf 838.234 941.672
Nb14T194.cnf 8.78062 10.4156
cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf 288.655 414.578
ex179_11.cnf 1297.02 2204.69
course_flat_0.12_2018_3_1.cnf 1354.07 4264.97
C3-2-31.cnf 45.031 48.7201
T62.2.0.cnf 1444.81 1232.65
sted5_0x24204-50.cnf 146.493 1202.18
cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf 1209.16 2413.21
factoring39916801x54018521.cnf 2383.73 2847.17
ex039_33.cnf 2763.52 1365.51
quadratic_loose_error.c.cnf 2485.75 1051.2
Nb54T6.cnf 3828.63 4178.81
gto_p60c241.cnf 128.937 131.423
full-ax-xa.rules.7-7.cnf 4038.23 3373.08
ecarev-110-1031-23-40-6.cnf 690.849 413.776
apn-sbox6-cut3-helpbox28.cnf 5000.07 5000.01
le450_25a.col.25.cnf 5000.1 5000.02
gto_p50c311.cnf 5000.12 5000.01
Cake_9_19.cnf 5000.11 5000.01
20180321_110704973_p_cnf_320_1120.cnf 5000.12 5000.12
course_flat_0.12_2018_3_5.cnf 5000.13 5000.01
sted1_0x0-420.cnf 5000.1 5000.16
uniqinv47prop.cnf 5000.1 5000.01
cannonball-opt-y.rules.4-10.cnf 5000.12 5000.01
uniqinv40prop.cnf 5000.13 5000.02
TimetableCNFEncoding_17_UNKNOWN.cnf 5000.1 5000.01
20180326_095805836_p_cnf_320_1120.cnf 5000.11 5000.01
udiv47prop.cnf 5000.12 5000.01
queen15_15.col.15.cnf 5000.11 5000.01
sted5_0x24204-70.cnf 5000.11 5000.15
satcoin-genesis-SAT-4.cnf 5000.11 5000.01
exam_flat_0.04_2018_3.cnf 5000.11 5000.02
satcoin-genesis-SAT-10.cnf 5000.1 5000.01
9-4-10.cnf 5000.11 5000.02
7-5-6.cnf 5000.01 5000.01
bibd-19-57-9-3-1_glb.cnf 98.1179 8.49104
course0.2_2018_3.cnf 5000.01 1015.73
ecarev-110-4099-22-30-4.cnf 346.661 283.402
Nb49T6.cnf 4552.72 5000.03
6-5-6.cnf 5000.02 5000.02
gto_p60c243.cnf 444.17 360.405
bibd-8-70-35-4-15_glb.cnf 73.3132 48.3906
gto_p50c291.cnf 5000.01 5000.15
assoc_mult_err_3.c.cnf 129.481 140.456
CNP-5-200.cnf 615.888 501.379
full-by-za.rules.5-7.cnf 5000.01 3609.67
Nb29T6.cnf 674.026 599.248
queen8-8-9.cnf 8.43676 5.05291
T129.2.0.cnf 694.191 750.739
20180321_140833987_p_cnf_320_1120.cnf 2953.43 5000.16
frb35-17-5_ext.cnf 48.7595 54.4967
udiv35prop.cnf 686.335 581.528
satcoin-genesis-SAT-16.cnf 5000.01 5000.01
CNP-5-1000.cnf 206.254 14.77
T92.2.0.cnf 637.243 1069.88
apn-sbox6-cut3-helpbox31.cnf 384.096 1293.08
Problem14_label19_true-unreach-call.c.cnf 99.6197 97.6518
factoring87654321x12345678.cnf 369.351 231.525
cz-alt-3-7.cnf 5000.01 5000.01
pals_floodmax.5_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf 4113.75 5000.01
si2-m4Dr2-m256-08.cnf 1035.14 1040.59
filter1_true-unreach-call.c.cnf 478.165 387.288
T98.2.0.cnf 492.706 698.188
magicSquare-8_glb.cnf 2.66627 16.2181
Problem14_label48_true-unreach-call.c.cnf 1267.09 202.465
sted5_0x0-40.cnf 18.3565 12.3066
Cake_8_16.cnf 5000.01 5000.02
course_flat_0.2_2018_3.cnf 109.76 69.0104
apn-sbox5-cut3-symmbreak.cnf 5000.01 5000.17
magicSquare-9_glb.cnf 27.992 38.6408
cms-scheel-md4-families-r24-c8-p2-3-4-5-7-12-16-19.cnf 10.0881 12.2065
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf 862.323 1215.37
terminator_03_true-unreach-call_true-termination.i.cnf 375.379 839.555
Problem14_label20_true-unreach-call.c.cnf 5.3491 5.08462
Nb27T6.cnf 581.043 1244.32
